label,precision,recall,f1-score,support
Bean,0.9851485148514851,0.995,0.9900497512437811,200.0
Bitter_Gourd,0.9949494949494949,0.985,0.9899497487437185,200.0
Bottle_Gourd,0.9948717948717949,0.97,0.9822784810126582,200.0
Brinjal,0.9802955665024631,0.995,0.9875930521091811,200.0
Broccoli,1.0,0.975,0.9873417721518988,200.0
Cabbage,1.0,0.995,0.9974937343358395,200.0
Capsicum,1.0,0.99,0.9949748743718593,200.0
Carrot,0.9900497512437811,0.995,0.9925187032418953,200.0
Cauliflower,0.9852216748768473,1.0,0.9925558312655087,200.0
Cucumber,0.9851485148514851,0.995,0.9900497512437811,200.0
Papaya,0.966183574879227,1.0,0.9828009828009828,200.0
Potato,1.0,1.0,1.0,200.0
Pumpkin,1.0,1.0,1.0,200.0
Radish,1.0,0.995,0.9974937343358395,200.0
Tomato,1.0,0.99,0.9949748743718593,200.0
macro avg,0.9921245924684386,0.9919999999999999,0.9920050194152535,3000.0
weighted avg,0.9921245924684386,0.992,0.9920050194152537,3000.0
